count,cosine,train_result,test_result,time
1,0.975,"              lyrics       quote  accuracy   macro avg  weighted avg
precision   0.622642    1.000000   0.79798    0.811321      0.874214
recall      1.000000    0.696970   0.79798    0.848485      0.797980
f1-score    0.767442    0.821429   0.79798    0.794435      0.803433
support    99.000000  198.000000   0.79798  297.000000    297.000000","             lyrics       quote  accuracy   macro avg  weighted avg
precision   0.60241    1.000000      0.78    0.801205      0.867470
recall      1.00000    0.670000      0.78    0.835000      0.780000
f1-score    0.75188    0.802395      0.78    0.777137      0.785557
support    50.00000  100.000000      0.78  150.000000    150.000000",2020-03-21 18:04:50.798852
1,0.98,"              lyrics       quote  accuracy   macro avg  weighted avg
precision   0.622642    1.000000   0.79798    0.811321      0.874214
recall      1.000000    0.696970   0.79798    0.848485      0.797980
f1-score    0.767442    0.821429   0.79798    0.794435      0.803433
support    99.000000  198.000000   0.79798  297.000000    297.000000","             lyrics       quote  accuracy   macro avg  weighted avg
precision   0.60241    1.000000      0.78    0.801205      0.867470
recall      1.00000    0.670000      0.78    0.835000      0.780000
f1-score    0.75188    0.802395      0.78    0.777137      0.785557
support    50.00000  100.000000      0.78  150.000000    150.000000",2020-03-21 18:04:50.907119
1,0.985,"              lyrics       quote  accuracy   macro avg  weighted avg
precision   0.622642    1.000000   0.79798    0.811321      0.874214
recall      1.000000    0.696970   0.79798    0.848485      0.797980
f1-score    0.767442    0.821429   0.79798    0.794435      0.803433
support    99.000000  198.000000   0.79798  297.000000    297.000000","             lyrics       quote  accuracy   macro avg  weighted avg
precision   0.60241    1.000000      0.78    0.801205      0.867470
recall      1.00000    0.670000      0.78    0.835000      0.780000
f1-score    0.75188    0.802395      0.78    0.777137      0.785557
support    50.00000  100.000000      0.78  150.000000    150.000000",2020-03-21 18:04:51.016100
1,0.99,"              lyrics       quote  accuracy   macro avg  weighted avg
precision   0.622642    1.000000   0.79798    0.811321      0.874214
recall      1.000000    0.696970   0.79798    0.848485      0.797980
f1-score    0.767442    0.821429   0.79798    0.794435      0.803433
support    99.000000  198.000000   0.79798  297.000000    297.000000","             lyrics       quote  accuracy   macro avg  weighted avg
precision   0.60241    1.000000      0.78    0.801205      0.867470
recall      1.00000    0.670000      0.78    0.835000      0.780000
f1-score    0.75188    0.802395      0.78    0.777137      0.785557
support    50.00000  100.000000      0.78  150.000000    150.000000",2020-03-21 18:04:51.127109
2,0.975,"              lyrics       quote  accuracy   macro avg  weighted avg
precision   0.714286    0.975610  0.858586    0.844948      0.888502
recall      0.959596    0.808081  0.858586    0.883838      0.858586
f1-score    0.818966    0.883978  0.858586    0.851472      0.862307
support    99.000000  198.000000  0.858586  297.000000    297.000000","              lyrics       quote  accuracy   macro avg  weighted avg
precision   0.712121    0.964286  0.853333    0.838203      0.880231
recall      0.940000    0.810000  0.853333    0.875000      0.853333
f1-score    0.810345    0.880435  0.853333    0.845390      0.857071
support    50.000000  100.000000  0.853333  150.000000    150.000000",2020-03-21 18:04:51.236202
2,0.98,"              lyrics       quote  accuracy   macro avg  weighted avg
precision   0.714286    0.975610  0.858586    0.844948      0.888502
recall      0.959596    0.808081  0.858586    0.883838      0.858586
f1-score    0.818966    0.883978  0.858586    0.851472      0.862307
support    99.000000  198.000000  0.858586  297.000000    297.000000","              lyrics       quote  accuracy   macro avg  weighted avg
precision   0.712121    0.964286  0.853333    0.838203      0.880231
recall      0.940000    0.810000  0.853333    0.875000      0.853333
f1-score    0.810345    0.880435  0.853333    0.845390      0.857071
support    50.000000  100.000000  0.853333  150.000000    150.000000",2020-03-21 18:04:51.345361
2,0.985,"              lyrics       quote  accuracy   macro avg  weighted avg
precision   0.714286    0.975610  0.858586    0.844948      0.888502
recall      0.959596    0.808081  0.858586    0.883838      0.858586
f1-score    0.818966    0.883978  0.858586    0.851472      0.862307
support    99.000000  198.000000  0.858586  297.000000    297.000000","              lyrics       quote  accuracy   macro avg  weighted avg
precision   0.712121    0.964286  0.853333    0.838203      0.880231
recall      0.940000    0.810000  0.853333    0.875000      0.853333
f1-score    0.810345    0.880435  0.853333    0.845390      0.857071
support    50.000000  100.000000  0.853333  150.000000    150.000000",2020-03-21 18:04:51.454662
2,0.99,"              lyrics       quote  accuracy   macro avg  weighted avg
precision   0.714286    0.975610  0.858586    0.844948      0.888502
recall      0.959596    0.808081  0.858586    0.883838      0.858586
f1-score    0.818966    0.883978  0.858586    0.851472      0.862307
support    99.000000  198.000000  0.858586  297.000000    297.000000","              lyrics       quote  accuracy   macro avg  weighted avg
precision   0.712121    0.964286  0.853333    0.838203      0.880231
recall      0.940000    0.810000  0.853333    0.875000      0.853333
f1-score    0.810345    0.880435  0.853333    0.845390      0.857071
support    50.000000  100.000000  0.853333  150.000000    150.000000",2020-03-21 18:04:51.563449
3,0.975,"              lyrics       quote  accuracy   macro avg  weighted avg
precision   0.763636    0.919786  0.861953    0.841711      0.867736
recall      0.848485    0.868687  0.861953    0.858586      0.861953
f1-score    0.803828    0.893506  0.861953    0.848667      0.863614
support    99.000000  198.000000  0.861953  297.000000    297.000000","              lyrics       quote  accuracy   macro avg  weighted avg
precision   0.763636    0.915789      0.86    0.839713      0.865072
recall      0.840000    0.870000      0.86    0.855000      0.860000
f1-score    0.800000    0.892308      0.86    0.846154      0.861538
support    50.000000  100.000000      0.86  150.000000    150.000000",2020-03-21 18:04:51.672779
3,0.98,"              lyrics       quote  accuracy   macro avg  weighted avg
precision   0.763636    0.919786  0.861953    0.841711      0.867736
recall      0.848485    0.868687  0.861953    0.858586      0.861953
f1-score    0.803828    0.893506  0.861953    0.848667      0.863614
support    99.000000  198.000000  0.861953  297.000000    297.000000","              lyrics       quote  accuracy   macro avg  weighted avg
precision   0.763636    0.915789      0.86    0.839713      0.865072
recall      0.840000    0.870000      0.86    0.855000      0.860000
f1-score    0.800000    0.892308      0.86    0.846154      0.861538
support    50.000000  100.000000      0.86  150.000000    150.000000",2020-03-21 18:04:51.781966
3,0.985,"              lyrics       quote  accuracy   macro avg  weighted avg
precision   0.763636    0.919786  0.861953    0.841711      0.867736
recall      0.848485    0.868687  0.861953    0.858586      0.861953
f1-score    0.803828    0.893506  0.861953    0.848667      0.863614
support    99.000000  198.000000  0.861953  297.000000    297.000000","              lyrics       quote  accuracy   macro avg  weighted avg
precision   0.763636    0.915789      0.86    0.839713      0.865072
recall      0.840000    0.870000      0.86    0.855000      0.860000
f1-score    0.800000    0.892308      0.86    0.846154      0.861538
support    50.000000  100.000000      0.86  150.000000    150.000000",2020-03-21 18:04:51.889683
