cos_lg1,cos_lg2,cos_lg3,cos_en,train_report,test_report,time,count1,count2
0.998,0.975,0.85,0.75,"             NonQuote      quote  accuracy   macro avg  weighted avg
precision    1.000000   0.446154      0.88    0.723077      0.946462
recall       0.867159   1.000000      0.88    0.933579      0.880000
f1-score     0.928854   0.617021      0.88    0.772938      0.898710
support    271.000000  29.000000      0.88  300.000000    300.000000","             NonQuote      quote  accuracy   macro avg  weighted avg
precision    0.989011   0.407407  0.936667    0.698209      0.961869
recall       0.944056   0.785714  0.936667    0.864885      0.936667
f1-score     0.966011   0.536585  0.936667    0.751298      0.945971
support    286.000000  14.000000  0.936667  300.000000    300.000000",2020-03-20 11:24:42.270948,1,1
0.998,0.975,0.85,0.75,"             NonQuote      quote  accuracy   macro avg  weighted avg
precision    1.000000   0.491525       0.9    0.745763      0.950847
recall       0.889299   1.000000       0.9    0.944649      0.900000
f1-score     0.941406   0.659091       0.9    0.800249      0.914116
support    271.000000  29.000000       0.9  300.000000    300.000000","             NonQuote      quote  accuracy   macro avg  weighted avg
precision    0.989051   0.423077      0.94    0.706064      0.962639
recall       0.947552   0.785714      0.94    0.866633      0.940000
f1-score     0.967857   0.550000      0.94    0.758929      0.948357
support    286.000000  14.000000      0.94  300.000000    300.000000",2020-03-20 11:26:29.772308,1,2
0.998,0.975,0.85,0.75,"             NonQuote      quote  accuracy   macro avg  weighted avg
precision    1.000000   0.508772  0.906667    0.754386      0.952515
recall       0.896679   1.000000  0.906667    0.948339      0.906667
f1-score     0.945525   0.674419  0.906667    0.809972      0.919318
support    271.000000  29.000000  0.906667  300.000000    300.000000","             NonQuote      quote  accuracy   macro avg  weighted avg
precision    0.989091   0.440000  0.943333    0.714545      0.963467
recall       0.951049   0.785714  0.943333    0.868382      0.943333
f1-score     0.969697   0.564103  0.943333    0.766900      0.950769
support    286.000000  14.000000  0.943333  300.000000    300.000000",2020-03-20 11:28:18.885619,1,3
0.998,0.975,0.85,0.75,"             NonQuote      quote  accuracy   macro avg  weighted avg
precision    0.995951   0.528302  0.913333    0.762127      0.950745
recall       0.907749   0.965517  0.913333    0.936633      0.913333
f1-score     0.949807   0.682927  0.913333    0.816367      0.924009
support    271.000000  29.000000  0.913333  300.000000    300.000000","             NonQuote      quote  accuracy   macro avg  weighted avg
precision    0.989130   0.458333  0.946667    0.723732      0.964360
recall       0.954545   0.785714  0.946667    0.870130      0.946667
f1-score     0.971530   0.578947  0.946667    0.775239      0.953210
support    286.000000  14.000000  0.946667  300.000000    300.000000",2020-03-20 11:30:06.942983,1,4
0.998,0.975,0.85,0.75,"             NonQuote      quote  accuracy   macro avg  weighted avg
precision    0.988142   0.553191      0.92    0.770667      0.946097
recall       0.922509   0.896552      0.92    0.909530      0.920000
f1-score     0.954198   0.684211      0.92    0.819204      0.928100
support    271.000000  29.000000      0.92  300.000000    300.000000","             NonQuote      quote  accuracy   macro avg  weighted avg
precision    0.989437   0.687500  0.973333    0.838468      0.975346
recall       0.982517   0.785714  0.973333    0.884116      0.973333
f1-score     0.985965   0.733333  0.973333    0.859649      0.974175
support    286.000000  14.000000  0.973333  300.000000    300.000000",2020-03-20 11:31:57.401638,2,1
0.998,0.975,0.85,0.75,"             NonQuote      quote  accuracy   macro avg  weighted avg
precision    0.988417   0.634146      0.94    0.811282      0.954171
recall       0.944649   0.896552      0.94    0.920601      0.940000
f1-score     0.966038   0.742857      0.94    0.854447      0.944464
support    271.000000  29.000000      0.94  300.000000    300.000000","             NonQuote      quote  accuracy   macro avg  weighted avg
precision    0.989474   0.733333  0.976667    0.861404      0.977520
recall       0.986014   0.785714  0.976667    0.885864      0.976667
f1-score     0.987741   0.758621  0.976667    0.873181      0.977049
support    286.000000  14.000000  0.976667  300.000000    300.000000",2020-03-20 11:33:46.819223,2,2
0.998,0.975,0.85,0.75,"             NonQuote      quote  accuracy   macro avg  weighted avg
precision    0.988506   0.666667  0.946667    0.827586      0.957395
recall       0.952030   0.896552  0.946667    0.924291      0.946667
f1-score     0.969925   0.764706  0.946667    0.867315      0.950087
support    271.000000  29.000000  0.946667  300.000000    300.000000","            NonQuote      quote  accuracy   macro avg  weighted avg
precision    0.98951   0.785714      0.98    0.887612          0.98
recall       0.98951   0.785714      0.98    0.887612          0.98
f1-score     0.98951   0.785714      0.98    0.887612          0.98
support    286.00000  14.000000      0.98  300.000000        300.00",2020-03-20 11:35:35.364162,2,3
0.998,0.975,0.85,0.75,"             NonQuote      quote  accuracy   macro avg  weighted avg
precision    1.000000   0.446154      0.88    0.723077      0.946462
recall       0.867159   1.000000      0.88    0.933579      0.880000
f1-score     0.928854   0.617021      0.88    0.772938      0.898710
support    271.000000  29.000000      0.88  300.000000    300.000000","             NonQuote      quote  accuracy   macro avg  weighted avg
precision    0.976378   0.500000   0.90604    0.738189      0.931618
recall       0.918519   0.785714   0.90604    0.852116      0.906040
f1-score     0.946565   0.611111   0.90604    0.778838      0.915046
support    135.000000  14.000000   0.90604  149.000000    149.000000",2020-03-20 11:42:05.769836,1,1
0.998,0.975,0.85,0.75,"             NonQuote      quote  accuracy   macro avg  weighted avg
precision    1.000000   0.491525       0.9    0.745763      0.950847
recall       0.889299   1.000000       0.9    0.944649      0.900000
f1-score     0.941406   0.659091       0.9    0.800249      0.914116
support    271.000000  29.000000       0.9  300.000000    300.000000","             NonQuote      quote  accuracy   macro avg  weighted avg
precision    0.976378   0.500000   0.90604    0.738189      0.931618
recall       0.918519   0.785714   0.90604    0.852116      0.906040
f1-score     0.946565   0.611111   0.90604    0.778838      0.915046
support    135.000000  14.000000   0.90604  149.000000    149.000000",2020-03-20 11:43:56.307151,1,2
0.998,0.975,0.85,0.75,"             NonQuote      quote  accuracy   macro avg  weighted avg
precision    1.000000   0.508772  0.906667    0.754386      0.952515
recall       0.896679   1.000000  0.906667    0.948339      0.906667
f1-score     0.945525   0.674419  0.906667    0.809972      0.919318
support    271.000000  29.000000  0.906667  300.000000    300.000000","             NonQuote      quote  accuracy   macro avg  weighted avg
precision    0.976378   0.500000   0.90604    0.738189      0.931618
recall       0.918519   0.785714   0.90604    0.852116      0.906040
f1-score     0.946565   0.611111   0.90604    0.778838      0.915046
support    135.000000  14.000000   0.90604  149.000000    149.000000",2020-03-20 11:45:46.718042,1,3
