,Dominant_Topic,Perc_Contribution,Topic_Keywords,text_pre,text,userid,textID
0,9.0,0.484499990940094,"fuck_H, got_H, get_H, stay_H, girl_L, wish_L, mine_H, sad_H, song_H, gon_H",Jammin.. Its just one of those days When you don't wanna wake up Everything is fucked Everybody sux You don't really know why But you want justifyRippin' someone's head off No human contact And if you interact Your life is on contract Your best bet is to stay away motherfucker It's just one of those days!,"['day', 'sux', 'head', 'contact', 'contract', 'bet', 'motherfuck', 'day', 'wake', 'fuck', 'know', 'want', 'stay', 'human', 'best']",009d96a823b6f6c085c092fb177491f6,184
1,12.0,0.6000000238418579,"go_H, know_H, let_H, love_H, day_H, fall_H, make_H, come_H, time_H, gon_H","/Instant karma's gonna get you ... you better get yourself together./""___ John Lennon""",['gon'],009d96a823b6f6c085c092fb177491f6,203
2,11.0,0.6126000285148621,"take_L, care_H, unawar_L, play_H, know_L, game_H, thing_L, way_H, work_H, come_L",And that's about the time she walked away from me Nobody likes you when your 23 And you still act like you're in Freshman year What the hell is wrong with me? My friends say I should act my age What's my age again? What's my age again?,"['time', 'friend', 'age', 'age', 'age', 'walk', 'like', 'act', 'say']",009d96a823b6f6c085c092fb177491f6,357
3,7.0,0.9491000175476074,"say_H, time_H, go_H, know_H, good_H, take_H, got_H, feel_H, see_H, mind_H",Tonight Gotta Leave That Nine To Five Upon The Shelf And Just Enjoy Yourself C'mon And Groove Yeah Let The Madness In The Music Get To You Life Ain't So Bad At All If You Live It Off The Wall Life Ain't So Bad At All.,"['tonight', 'shelf', 'enjoy', 'groov', 'music', 'life', 'life', 'got', 'leav', 'let', 'bad', 'live', 'bad']",009d96a823b6f6c085c092fb177491f6,409
4,12.0,0.490200012922287,"go_H, know_H, let_H, love_H, day_H, fall_H, make_H, come_H, time_H, gon_H",Your always there when I get home and keep me warm through out the night in the morning is always a fight to let you go and I know you want me to stay just as much as I do. You always make me feel comfortable and warm and I love you because I can always count on laying upon you with no complaints :) I <3 my bed,"['home', 'night', 'morn', 'love', 'complaint', 'bed', 'keep', 'fight', 'let', 'go', 'know', 'want', 'stay', 'make', 'feel', 'count', 'lay', 'warm', 'much', 'comfort', 'warm']",009d96a823b6f6c085c092fb177491f6,410
5,7.0,0.9200000166893005,"say_H, time_H, go_H, know_H, good_H, take_H, got_H, feel_H, see_H, mind_H","I've got hoes I've  got hoes, in different area codes # R.I.PNate Dogg","['hoe', 'hoe', 'area', 'code', '#', 'got', 'got', 'differ']",009d96a823b6f6c085c092fb177491f6,437
6,12.0,0.9646000266075134,"go_H, know_H, let_H, love_H, day_H, fall_H, make_H, come_H, time_H, gon_H","Let the rain fall down And wake my dreams Let it wash away My sanity' Cause I wanna feel the thunder I wanna scream Let the rain fall down I'm coming clean, I'm coming clean.... Absolutely Beautiful outside :)","['rain', 'fall', 'wake', 'dream', 'saniti', 'thunder', 'rain', 'let', 'let', 'wash', 'feel', 'scream', 'let', 'fall', 'come', 'come', 'clean', 'clean', 'beauti']",009d96a823b6f6c085c092fb177491f6,461
7,12.0,0.9627000093460083,"go_H, know_H, let_H, love_H, day_H, fall_H, make_H, come_H, time_H, gon_H","I will always let you know **bobsnewline** That the place where I am is never far **bobsnewline** You know, you're not alone, don't be alarmed **bobsnewline** I'll find you no matter where you are **bobsnewline** So please remember that I'm gonna follow through all the way **bobsnewline** Oh my love, if it's all I can do, I'll take the fall 4 U **bobsnewline** Cos I will soar when I lay down with you and give my all 4 U **bobsnewline** ~POETS OF THE FALL~","['place', 'matter', 'way', 'love', 'fall', 'fall~', 'let', 'know', 'know', 'alarm', 'find', 'rememb', 'gon', 'follow', 'take', 'lay', 'give', 'alon']",009d96a823b6f6c085c092fb177491f6,472
8,0.0,0.9096999764442444,"love_H, got_H, want_H, feel_H, thing_H, make_H, need_H, come_H, see_H, day_H",I just want to hop back under the covers and pretend I don't have a job. me need sleeps!,"['hop', 'cover', 'sleep', 'want', 'pretend', 'job', 'need']",011679a3ae49998801ada93d822b7302,612
9,5.0,0.8963000178337097,"know_H, want_H, hold_H, wait_H, dark_H, tell_H, love_H, heart_H, live_H, wish_H",/All you have to do is close your eyes and just reach out your hands and touch me. Hold me close,"['eye', 'hand', 'reach', 'touch', 'hold', 'close']",01530624766b3be63c7709c6581c335d,875
