dominant_t,topic_per,keywords,text,userid,textiD,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
9,0.484499991,"fuck_H, got_H, get_H, stay_H, girl_L, wish_L, mine_H, sad_H, song_H, gon_H",Jammin.. Its just one of those days When you don't wanna wake up Everything is fucked Everybody sux You don't really know why But you want justifyRippin' someone's head off No human contact And if you interact Your life is on contract Your best bet is to stay away motherfucker It's just one of those days!,009d96a823b6f6c085c092fb177491f6,184,56,4.55,96.27,30.01,25.77,28,14.29,94.64,62.5,23.21,10.71,0,0,10.71,0,0,12.5,0,12.5,12.5,8.93,7.14,5.36,17.86,1.79,1.79,3.57,3.57,0,3.57,1.79,1.79,0,1.79,0,21.43,0,1.79,0,0,21.43,3.57,3.57,5.36,5.36,3.57,5.36,0,0,0,0,7.14,3.57,1.79,1.79,0,7.14,1.79,1.79,3.57,3.57,0,1.79,16.07,1.79,14.29,1.79,8.93,5.36,0,0,0,1.79,0,0,5.36,3.57,0,0,0,0,14.29,3.57,0,0,0,0,1.79,0,0,8.93,0,0
12,0.600000024,"go_H, know_H, let_H, love_H, day_H, fall_H, make_H, come_H, time_H, gon_H","/Instant karma's gonna get you ... you better get yourself together./""___ John Lennon""",009d96a823b6f6c085c092fb177491f6,203,12,38.6,99,74.76,99,6,25,75,25,25,25,0,0,25,0,0,0,0,0,0,0,0,0,25,8.33,8.33,0,0,0,8.33,8.33,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,8.33,8.33,0,25,0,0,16.67,8.33,25,8.33,8.33,8.33,0,0,0,0,0,0,8.33,0,8.33,0,0,0,100,33.33,0,0,0,0,0,0,16.67,8.33,0,41.67
11,0.612600029,"take_L, care_H, unawar_L, play_H, know_L, game_H, thing_L, way_H, work_H, come_L",And that's about the time she walked away from me Nobody likes you when your 23 And you still act like you're in Freshman year What the hell is wrong with me? My friends say I should act my age What's my age again? What's my age again?,009d96a823b6f6c085c092fb177491f6,357,48,1.92,66.17,99,4.56,16,4.17,93.75,68.75,35.42,25,14.58,0,8.33,2.08,0,10.42,4.17,12.5,12.5,10.42,6.25,2.08,18.75,2.08,2.08,8.33,2.08,0,6.25,2.08,4.17,0,2.08,0,14.58,0,2.08,2.08,0,2.08,0,0,2.08,0,0,0,2.08,0,2.08,0,0,0,0,0,0,12.5,2.08,0,8.33,0,2.08,2.08,14.58,0,25,2.08,4.17,18.75,2.08,0,0,0,2.08,0,2.08,2.08,0,0,0,0,14.58,0,0,0,0,6.25,0,0,0,8.33,0,0
7,0.949100018,"say_H, time_H, go_H, know_H, good_H, take_H, got_H, feel_H, see_H, mind_H",Tonight Gotta Leave That Nine To Five Upon The Shelf And Just Enjoy Yourself C'mon And Groove Yeah Let The Madness In The Music Get To You Life Ain't So Bad At All If You Live It Off The Wall Life Ain't So Bad At All.,009d96a823b6f6c085c092fb177491f6,409,47,66.74,58.41,65.58,4.35,47,6.38,91.49,53.19,10.64,6.38,0,0,6.38,0,0,4.26,8.51,14.89,6.38,6.38,10.64,4.26,14.89,0,0,0,4.26,4.26,6.38,2.13,4.26,0,0,0,6.38,0,0,0,0,10.64,0,0,2.13,2.13,4.26,6.38,2.13,0,2.13,0,6.38,0,6.38,0,0,6.38,0,0,0,2.13,4.26,0,10.64,4.26,19.15,2.13,12.77,4.26,0,2.13,0,0,0,0,4.26,0,2.13,2.13,0,0,8.51,2.13,0,0,0,0,0,0,0,6.38,0,0
12,0.490200013,"go_H, know_H, let_H, love_H, day_H, fall_H, make_H, come_H, time_H, gon_H",Your always there when I get home and keep me warm through out the night in the morning is always a fight to let you go and I know you want me to stay just as much as I do. You always make me feel comfortable and warm and I love you because I can always count on laying upon you with no complaints :) I <3 my bed,009d96a823b6f6c085c092fb177491f6,410,69,31.91,71.89,98.89,93.61,34.5,7.25,97.1,60.87,23.19,23.19,14.49,0,8.7,0,0,0,4.35,14.49,5.8,4.35,11.59,1.45,17.39,7.25,2.9,1.45,1.45,1.45,10.14,7.25,2.9,0,1.45,0,13.04,0,0,0,0,13.04,2.9,2.9,1.45,0,5.8,0,4.35,0,0,4.35,1.45,0,0,0,0,2.9,1.45,0,0,1.45,0,0,15.94,0,18.84,2.9,7.25,10.14,0,0,2.9,0,0,0,1.45,0,1.45,0,0,0,2.9,1.45,0,0,0,0,0,0,0,0,0,1.45
7,0.920000017,"say_H, time_H, go_H, know_H, good_H, take_H, got_H, feel_H, see_H, mind_H","I've got hoes I've  got hoes, in different area codes # R.I.PNate Dogg",009d96a823b6f6c085c092fb177491f6,437,14,29.3,1,99,25.77,14,7.14,78.57,28.57,21.43,21.43,21.43,0,0,0,0,0,0,7.14,14.29,0,0,0,28.57,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,14.29,0,0,0,14.29,0,14.29,14.29,0,14.29,0,14.29,0,0,0,0,0,0,0,21.43,14.29,7.14,0,0,0,42.86,14.29,7.14,0,0,0,0,0,0,14.29,0,7.14
12,0.964600027,"go_H, know_H, let_H, love_H, day_H, fall_H, make_H, come_H, time_H, gon_H","Let the rain fall down And wake my dreams Let it wash away My sanity' Cause I wanna feel the thunder I wanna scream Let the rain fall down I'm coming clean, I'm coming clean.... Absolutely Beautiful outside :)",009d96a823b6f6c085c092fb177491f6,461,39,43.96,6.21,98.01,73.64,19.5,10.26,92.31,53.85,17.95,15.38,15.38,0,0,0,0,2.56,7.69,10.26,17.95,2.56,2.56,0,23.08,7.69,0,0,0,0,7.69,5.13,2.56,0,0,0,0,0,0,0,0,12.82,2.56,2.56,5.13,0,2.56,0,10.26,2.56,5.13,2.56,5.13,2.56,2.56,0,0,5.13,0,0,5.13,0,0,0,10.26,10.26,20.51,10.26,10.26,0,0,2.56,0,0,0,0,10.26,0,2.56,2.56,0,0,20.51,10.26,2.56,0,0,0,0,0,0,7.69,0,0
12,0.962700009,"go_H, know_H, let_H, love_H, day_H, fall_H, make_H, come_H, time_H, gon_H","I will always let you know **bobsnewline** That the place where I am is never far **bobsnewline** You know, you're not alone, don't be alarmed **bobsnewline** I'll find you no matter where you are **bobsnewline** So please remember that I'm gonna follow through all the way **bobsnewline** Oh my love, if it's all I can do, I'll take the fall 4 U **bobsnewline** Cos I will soar when I lay down with you and give my all 4 U **bobsnewline** ~POETS OF THE FALL~",009d96a823b6f6c085c092fb177491f6,472,84,1.92,50,98.01,25.77,84,11.9,85.71,58.33,25,21.43,11.9,0,9.52,0,0,3.57,4.76,4.76,17.86,5.95,5.95,4.76,27.38,3.57,0,3.57,2.38,3.57,4.76,2.38,2.38,1.19,0,1.19,9.52,0,0,0,0,14.29,4.76,1.19,1.19,1.19,5.95,2.38,0,0,0,0,1.19,0,0,0,0,4.76,1.19,0,1.19,1.19,1.19,1.19,20.24,5.95,15.48,4.76,7.14,3.57,0,0,0,0,0,0,4.76,0,3.57,0,1.19,0,47.62,0,4.76,0,0,0,0,0,0,7.14,0,35.71
0,0.909699976,"love_H, got_H, want_H, feel_H, thing_H, make_H, need_H, come_H, see_H, day_H",I just want to hop back under the covers and pretend I don't have a job. me need sleeps!,011679a3ae49998801ada93d822b7302,612,19,35.06,1.81,81.22,25.77,9.5,5.26,94.74,63.16,15.79,15.79,15.79,0,0,0,0,0,10.53,10.53,10.53,10.53,5.26,5.26,26.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.79,5.26,0,10.53,0,0,0,0,0,0,0,5.26,5.26,0,0,0,5.26,0,0,5.26,0,0,0,26.32,0,15.79,5.26,10.53,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0,15.79,5.26,0,0,0,0,5.26,0,0,5.26,0,0
5,0.896300018,"know_H, want_H, hold_H, wait_H, dark_H, tell_H, love_H, heart_H, live_H, wish_H",/All you have to do is close your eyes and just reach out your hands and touch me. Hold me close,01530624766b3be63c7709c6581c335d,875,21,5.89,97.14,68.01,25.77,10.5,0,90.48,61.9,23.81,23.81,9.52,0,14.29,0,0,0,0,9.52,14.29,4.76,9.52,0,19.05,0,0,0,0,4.76,0,0,0,0,0,0,14.29,0,0,0,0,4.76,0,0,0,0,4.76,0,14.29,4.76,0,9.52,9.52,9.52,0,0,0,0,0,0,0,0,0,0,14.29,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,9.52,4.76,0,0,0,0,0,0,0,0,0,4.76
