dominant_t,topic_per,keywords,text,userid,textiD,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
13,0.838,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H",In order to reach the top you must get rid of everyone and everything that holds you down,009d96a823b6f6c085c092fb177491f6,65,18,75.9,99,23.51,25.77,18,11.11,83.33,66.67,27.78,11.11,0,0,11.11,0,0,16.67,5.56,22.22,5.56,0,5.56,0,11.11,5.56,5.56,0,0,0,0,0,0,0,0,0,22.22,0,0,0,0,16.67,0,0,5.56,0,16.67,0,0,0,0,0,0,0,0,0,0,22.22,0,5.56,16.67,5.56,0,0,5.56,0,22.22,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.911300004,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H","Because I get stoopid, I mean outrageous Stay away from me if you're contagious 'Cause I'm the winner, no, I'm not the loser To be an M.C. is what I choose 'a.... Woooo Rockin and studying school day 3",009d96a823b6f6c085c092fb177491f6,244,40,32.01,2.31,93.3,2.89,13.33,12.5,87.5,55,20,17.5,15,0,2.5,0,0,2.5,10,7.5,12.5,0,7.5,5,20,2.5,0,2.5,2.5,0,7.5,2.5,5,0,2.5,2.5,2.5,0,0,0,0,15,5,5,2.5,2.5,0,5,0,0,0,0,2.5,0,2.5,0,0,7.5,0,5,5,5,0,0,20,0,7.5,2.5,5,2.5,5,0,0,0,0,0,2.5,0,0,2.5,0,0,35,15,7.5,0,0,0,0,0,0,12.5,0,0
13,0.805899978,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H",The trip is never as fun when the destination is back home and away from my sweetheart,009d96a823b6f6c085c092fb177491f6,302,17,27.29,27.83,99,99,17,11.76,100,70.59,5.88,5.88,5.88,0,0,0,0,0,11.76,17.65,11.76,17.65,17.65,5.88,11.76,11.76,5.88,5.88,0,0,11.76,11.76,0,0,0,0,5.88,0,5.88,0,0,5.88,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,5.88,5.88,0,0,0,0,0,11.76,5.88,29.41,5.88,11.76,17.65,0,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.481400013,"world_H, resolv_L, defin_H, power_H, thank_H, belong_H, sticki_H, polit_H, judg_H, tat_H",I'm spaced out in a day dream waiting for my train when I notice that down on the track a rat is staring at me... No I'm not looking at you figures NYC  even the rats got a rude temper,009d96a823b6f6c085c092fb177491f6,308,40,83.17,6.7,99,1,20,10,87.5,60,17.5,15,12.5,0,2.5,0,0,2.5,12.5,17.5,7.5,5,2.5,5,20,2.5,0,2.5,0,0,5,0,5,0,5,0,2.5,0,0,0,0,7.5,5,0,0,0,0,2.5,5,5,0,0,0,0,0,0,0,5,0,0,2.5,2.5,0,2.5,10,0,25,0,17.5,7.5,0,2.5,0,0,0,0,0,0,0,0,0,0,12.5,7.5,0,0,0,0,0,0,0,5,0,0
13,0.902499974,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H",Cause you feel like paradise **bobsnewline** I need a vacation tonight **bobsnewline** So if I said I want your body now **bobsnewline** Would you hold it against me __ is Britney B*tch!,009d96a823b6f6c085c092fb177491f6,330,32,16.88,62.28,18.52,81.93,32,25,81.25,50,25,21.88,12.5,0,9.38,0,0,3.12,3.12,6.25,6.25,6.25,6.25,0,18.75,0,3.12,0,0,0,3.12,3.12,0,0,0,0,12.5,0,0,0,0,21.88,3.12,3.12,12.5,3.12,0,6.25,6.25,0,3.12,3.12,3.12,3.12,0,0,0,0,0,0,0,0,0,3.12,15.62,3.12,6.25,0,0,6.25,0,3.12,0,0,3.12,0,3.12,0,3.12,0,0,0,50,0,0,0,0,0,3.12,0,0,0,0,46.88
13,0.758000016,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H",feel like I'm in Narnia and this winter is going to last forever,009d96a823b6f6c085c092fb177491f6,358,13,65.46,22.08,99,25.77,13,7.69,92.31,53.85,15.38,7.69,7.69,0,0,0,0,7.69,0,23.08,15.38,0,7.69,0,30.77,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,7.69,0,0,0,7.69,0,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,23.08,7.69,38.46,7.69,7.69,23.08,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,7.69,0,0
13,0.67869997,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H",Margaret Thatcher : /If you want something said,009d96a823b6f6c085c092fb177491f6,366,7,5.89,99,1,25.77,7,42.86,71.43,42.86,28.57,14.29,0,0,14.29,0,0,14.29,0,0,0,0,14.29,0,28.57,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,0,0,42.86,0,0,28.57,28.57,0,14.29,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,14.29,0,0,0,0,0,0,0,14.29
13,0.94569999,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H","If you begin the day with love in your heart, peace in your nerves, and truth in your mind, you not only benefit by their presence but also bring them to others, to your family and friends, and to all those who's destiny draws across your path that day ~Unknown",009d96a823b6f6c085c092fb177491f6,390,50,41.39,99,56.63,99,50,10,92,62,26,18,0,0,14,0,4,8,2,18,0,4,12,2,6,2,0,2,0,2,8,8,0,0,0,0,26,2,2,0,0,14,0,0,2,4,4,8,0,0,0,0,6,4,0,0,0,8,6,0,0,2,0,0,6,2,16,2,8,6,0,2,2,0,0,0,0,0,0,0,0,0,14,0,10,0,0,0,0,0,0,2,0,2
14,0.67869997,"drop_L, sick_L, surviv_L, rate_L, enough_L, move_L, least_L, timelin_L, get_H, gunpowd_H",Que todo el mundo cabe en el telÌ©fono que no hay distancias grandes para nuestro amor que todo es perfecto cuando te siento tan cerca aunque estes tan lejos.             ~Sin Bandera,009d96a823b6f6c085c092fb177491f6,425,31,89.71,37.35,1,83.22,15.5,19.35,16.13,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,0,0,0,0,9.68,6.45,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,3.23,0,0,0,0,0,3.23,0,0,0,0,0,0,0,6.45,3.23,0,0,0,0,0,0,0,0,0,3.23
13,0.838,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H",War is about who's left not who's right.... be strong and never give up,009d96a823b6f6c085c092fb177491f6,475,14,1.92,50,99,25.77,7,0,100,64.29,14.29,0,0,0,0,0,0,14.29,0,14.29,14.29,14.29,7.14,14.29,42.86,7.14,0,14.29,0,0,14.29,7.14,7.14,0,7.14,0,21.43,0,0,0,0,14.29,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,21.43,0,0,21.43,0,0,7.14,35.71,0,28.57,0,21.43,7.14,0,0,0,0,0,7.14,0,0,0,0,0,0,42.86,28.57,0,0,0,0,0,0,0,14.29,0,0
